TableName,ColumnName,PandasDataType
4-Confirmação Cotação,Empresa,Int64
4-Confirmação Cotação,Desc. Empresa,string
4-Confirmação Cotação,Obra,string
4-Confirmação Cotação,Desc. Obra,string
4-Confirmação Cotação,Cotação,Int64
4-Confirmação Cotação,Simulação,Int64
4-Confirmação Cotação,Contrato,string
4-Confirmação Cotação,Subtotal,Float64
4-Confirmação Cotação,Desconto,Int64
4-Confirmação Cotação,Frete,Int64
4-Confirmação Cotação,Total,Int64
4-Confirmação Cotação,Dif. aliq. ICMS,Int64
4-Confirmação Cotação,Total Dif. Aliq. ICMS,Float64
4-Confirmação Cotação,Dt. Vencimento,datetime64[ns]
4-Confirmação Cotação,Usuário,string
4-Confirmação Cotação,Quando,datetime64[ns]
4-Confirmação Cotação,Tipo Cotação,string
5-Contratos de Mat e Serv,Anexos,string
5-Contratos de Mat e Serv,LR,string
5-Contratos de Mat e Serv,LE,string
5-Contratos de Mat e Serv,PONTA,string
5-Contratos de Mat e Serv,Empresa,Int64
5-Contratos de Mat e Serv,Desc. Empresa,string
5-Contratos de Mat e Serv,Obra,string
5-Contratos de Mat e Serv,Desc. Obra,string
5-Contratos de Mat e Serv,Contrato,Int64
5-Contratos de Mat e Serv,Valor total,decimal.Decimal
5-Contratos de Mat e Serv,Valor medido,decimal.Decimal
5-Contratos de Mat e Serv,Objeto,string
5-Contratos de Mat e Serv,Cód. fornecedor,Int64
5-Contratos de Mat e Serv,Fornecedor,string
5-Contratos de Mat e Serv,Observação,string
5-Contratos de Mat e Serv,Início,datetime64[ns]
5-Contratos de Mat e Serv,Fim,datetime64[ns]
6-Aprovação Pedido,Anexos,string
6-Aprovação Pedido,LR,string
6-Aprovação Pedido,LE,string
6-Aprovação Pedido,PONTA,string
6-Aprovação Pedido,Empresa,Int64
6-Aprovação Pedido,Obra,string
6-Aprovação Pedido,Pedido,Int64
6-Aprovação Pedido,Tipo do pedido,string
6-Aprovação Pedido,Item,string
6-Aprovação Pedido,Descrição,string
6-Aprovação Pedido,Unidade,string
6-Aprovação Pedido,Quantidade,Int64
6-Aprovação Pedido,Preço orçado,Float64
6-Aprovação Pedido,Valor total,decimal.Decimal
6-Aprovação Pedido,Data de entrega,string
7-Extra-Planejado,Anexos,Int64
7-Extra-Planejado,LR,string
7-Extra-Planejado,LE,string
7-Extra-Planejado,PONTA,string
7-Extra-Planejado,Empresa,Int64
7-Extra-Planejado,Desc. Empresa,string
7-Extra-Planejado,Obra,string
7-Extra-Planejado,Desc. Obra,string
7-Extra-Planejado,Solicitação,Int64
7-Extra-Planejado,Origem,Int64
7-Extra-Planejado,Usuário,string
7-Extra-Planejado,Data,datetime64[ns]
7-Extra-Planejado,Valor solicitado,decimal.Decimal
7-Extra-Planejado,Descrição,string
7-Extra-Planejado,Justificativa,string
Acomp Entrega,Anexos,string
Acomp Entrega,LR,string
Acomp Entrega,LE,string
Acomp Entrega,PONTA,string
Acomp Entrega,Empresa,Int64
Acomp Entrega,Obra,string
Acomp Entrega,Cotação,Int64
Acomp Entrega,O. C.,Int64
Acomp Entrega,Processo,Int64
Acomp Entrega,Código,Int64
Acomp Entrega,Descrição Fornecedor,string
Acomp Entrega,Subtotal,Float64
Acomp Entrega,Desconto,Float64
Acomp Entrega,Total,decimal.Decimal
Acomp Entrega,Compra,datetime64[ns]
Acomp Entrega,Tipo,string
Acomp Entrega,Contrato,Int64
